;;Catálogo de indicadores económicos disponibles a consultar;
46973;                         Grupo GF0702 (Servicios Ambulatorios);Grupo GF0702 (Servicios Ambulatorios);Anual
46974;                         Grupo GF0703 (Servicios Hospitalarios);Grupo GF0703 (Servicios Hospitalarios);Anual
46975;                         Grupo GF0704 (Servicios de Salud Publica);Grupo GF0704 (Servicios de Salud Publica);Anual
46976;                         Grupo GF0705 (Salud R&D);Grupo GF0705 (Salud R&D);Anual
46977;                         Grupo GF0706 (Salud n.e.c);Grupo GF0706 (Salud n.e.c);Anual
46978;                    División GF08 (Recreación, cultura y religión);División GF08 (Recreación, cultura y religión);Anual
46979;                         Grupo GF0801 (Serv de deporte y recreación);Grupo GF0801 (Serv de deporte y recreación);Anual
46980;                         Grupo GF0802 (Servicios culturales);Grupo GF0802 (Servicios culturales);Anual
46981;                         Grupo GF0803 (Serv de radiodifusión y publicn);Grupo GF0803 (Serv de radiodifusión y publicn);Anual
46982;                         Grupo GF0804 (Serv de comunidades religiosas);Grupo GF0804 (Serv de comunidades religiosas);Anual
46983;                         Grupo GF0805 (Recreación, cult y relig R&D);Grupo GF0805 (Recreación, cult y relig R&D);Anual
46984;                         Grupo GF0806 (Recreación, cult y relig n.e.c);Grupo GF0806 (Recreación, cult y relig n.e.c);Anual
46985;                    División GF09 (Educación);División GF09 (Educación);Anual
46986;                         Grupo GF0801 (Educ Preescolar y Primaria);Grupo GF0801 (Educ Preescolar y Primaria);Anual
46987;                         Grupo GF0802 (Educación Secundaria);Grupo GF0802 (Educación Secundaria);Anual
46988;                         Grupo GF0803 (Educ pos-secund y no terciaria);Grupo GF0803 (Educ pos-secund y no terciaria);Anual
46989;                         Grupo GF0804 (Educación terciaria);Grupo GF0804 (Educación terciaria);Anual
46990;                         Grupo GF0805 (Educ no definible por niv);Grupo GF0805 (Educ no definible por niv);Anual
46991;                         Grupo GF0806 (Serv subsidiarios para educación);Grupo GF0806 (Serv subsidiarios para educación);Anual
46992;                         Grupo GF0907 (R&D Education);Grupo GF0907 (R&D Education);Anual
46993;                         Grupo GF0908 (Educación n.e.c);Grupo GF0908 (Educación n.e.c);Anual
46994;                    División GF10 (Protección social);División GF10 (Protección social);Anual
46995;                         Grupo GF1001 (Efermedad y discapacidad);Grupo GF1001 (Efermedad y discapacidad);Anual
46996;                         Grupo GF1002 (Vejez);Grupo GF1002 (Vejez);Anual
46997;                         Grupo GF1003 (Sobrevivientes);Grupo GF1003 (Sobrevivientes);Anual
46998;                         Grupo GF1004 (Familia y niños);Grupo GF1004 (Familia y niños);Anual
46999;                         Grupo GF1005 (Desempleo);Grupo GF1005 (Desempleo);Anual
47000;                         Grupo GF1006 (Viviendas);Grupo GF1006 (Viviendas);Anual
47001;                         Grupo GF1007 (Exclusión social n.e.c);Grupo GF1007 (Exclusión social n.e.c);Anual
47002;                         Grupo GF1008 (R&D Protección social);Grupo GF1008 (R&D Protección social);Anual
47003;                         Grupo GF1009 (Protección social n.e.c);Grupo GF1009 (Protección social n.e.c);Anual
44062;          Otras transf corrientes a cargo del subs fond sec social (2);Otras transf corrientes a cargo del subs fond sec social (2);Anual
44063;               Sector S13 - Gobierno General;Sector S13 - Gobierno General;Anual
44064;                    División GF01 (Servicios públicos generales);División GF01 (Servicios públicos generales);Anual
44065;                         Grupo GF0101 (Org Ejecutivo y Legislativo, asun fisc-fin);Grupo GF0101 (Org Ejecutivo y Legislativo, asun fisc-fin);Anual
44066;                         Grupo GF0102 (Ayuda económica Extranjera);Grupo GF0102 (Ayuda económica Extranjera);Anual
44067;                         Grupo GF0103 (Servicios generales);Grupo GF0103 (Servicios generales);Anual
44068;                         Grupo GF0104 (Investigación básica);Grupo GF0104 (Investigación básica);Anual
44069;                         Grupo GF0105 (Servicios públicos generales (R&D);Grupo GF0105 (Servicios públicos generales (R&D);Anual
44070;                         Grupo GF0106 (Servicios públicos gen n.e.c );Grupo GF0106 (Servicios públicos gen n.e.c );Anual
44071;                         Grupo GF0107 (Transacciones deuda púb);Grupo GF0107 (Transacciones deuda púb);Anual
44072;                         Grupo GF0108 (Transf de caractr gen entre niv Gob);Grupo GF0108 (Transf de caractr gen entre niv Gob);Anual
47004;                    División GF02 (Defensa);División GF02 (Defensa);Anual
47005;                         Grupo GF0201 (Defensa Militar);Grupo GF0201 (Defensa Militar);Anual
47006;                         Grupo GF0202 (Defensa Civil);Grupo GF0202 (Defensa Civil);Anual
47007;                         Grupo GF0203 (Ayuda ext militar);Grupo GF0203 (Ayuda ext militar);Anual
47008;                         Grupo GF0204 (Defensa R&D);Grupo GF0204 (Defensa R&D);Anual
47009;                         Grupo GF0205 (Defensa n.e.c);Grupo GF0205 (Defensa n.e.c);Anual
47010;                    División GF03 (Seguridad y orden público);División GF03 (Seguridad y orden público);Anual
47011;                         Grupo GF0301 (Servicios policiales);Grupo GF0301 (Servicios policiales);Anual
47012;                         Grupo GF0302 (Servicios contra incendios);Grupo GF0302 (Servicios contra incendios);Anual
47013;                         Grupo GF0303 (Tribunales de justicia);Grupo GF0303 (Tribunales de justicia);Anual
47014;                         Grupo GF0304 (Prisiones);Grupo GF0304 (Prisiones);Anual
47015;                         Grupo GF0305 (Seguridad y orden público R&D);Grupo GF0305 (Seguridad y orden público R&D);Anual
47016;                         Grupo GF0306 (Seguridad y orden público n.e.c);Grupo GF0306 (Seguridad y orden público n.e.c);Anual
47017;                    División GF04 (Asuntos económicos);División GF04 (Asuntos económicos);Anual
47018;                         Grupo GF0401 (Econ general, asunt com y lab);Grupo GF0401 (Econ general, asunt com y lab);Anual
47019;                         Grupo GF0402 (Agricult, silvicult, pesca y caza);Grupo GF0402 (Agricult, silvicult, pesca y caza);Anual
47020;                         Grupo GF0403 (Combustible y energía);Grupo GF0403 (Combustible y energía);Anual
47021;                         Grupo GF0404 (Minería, manufactura y const);Grupo GF0404 (Minería, manufactura y const);Anual
47022;                         Grupo GF0405 (Transporte);Grupo GF0405 (Transporte);Anual
47023;                         Grupo GF0406 (Comunicación);Grupo GF0406 (Comunicación);Anual
47024;                         Grupo GF0407 (Otras industrias);Grupo GF0407 (Otras industrias);Anual
47025;                         Grupo GF0408 (Asuntos económicos R&D);Grupo GF0408 (Asuntos económicos R&D);Anual
47026;                         Grupo GF0409 (Asuntos económicos n.e.c);Grupo GF0409 (Asuntos económicos n.e.c);Anual
47027;                    División GF05 (Protección Ambiental);División GF05 (Protección Ambiental);Anual
47028;                         Grupo GF0501 (Manejo de residuos);Grupo GF0501 (Manejo de residuos);Anual
47029;                         Grupo GF0502 (Gestión de aguas residuales);Grupo GF0502 (Gestión de aguas residuales);Anual
47030;                         Grupo GF0503 (Reducción de contaminación);Grupo GF0503 (Reducción de contaminación);Anual
47031;                         Grupo GF0504 (Protecc por la biodiv y paisaje );Grupo GF0504 (Protecc por la biodiv y paisaje );Anual
47032;                         Grupo GF0505 (R&D Protection Ambiental);Grupo GF0505 (R&D Protection Ambiental);Anual
47033;                         Grupo GF0506 (Protección ambiental n.e.c);Grupo GF0506 (Protección ambiental n.e.c);Anual
47034;                    División GF06 (Vivienda y serv a comunidd);División GF06 (Vivienda y serv a comunidd);Anual
47035;                         Grupo GF0601 (Urbanización );Grupo GF0601 (Urbanización );Anual
47036;                         Grupo GF0602 (Desarrollo comunitario);Grupo GF0602 (Desarrollo comunitario);Anual
47037;                         Grupo GF0603 (Suministro de agua);Grupo GF0603 (Suministro de agua);Anual
47038;                         Grupo GF0604 (Alumbrado público);Grupo GF0604 (Alumbrado público);Anual
47039;                         Grupo GF0605 (R&D Viviendas y servicios a com);Grupo GF0605 (R&D Viviendas y servicios a com);Anual
47040;                         Grupo GF0606 (Protección ambiental n.e.c);Grupo GF0606 (Protección ambiental n.e.c);Anual
47041;                    División GF07 (Salud);División GF07 (Salud);Anual
47042;                         Grupo GF0701 (Productos medicos, equip y acc);Grupo GF0701 (Productos medicos, equip y acc);Anual
47043;                         Grupo GF0702 (Servicios Ambulatorios);Grupo GF0702 (Servicios Ambulatorios);Anual
47044;                         Grupo GF0703 (Servicios Hospitalarios);Grupo GF0703 (Servicios Hospitalarios);Anual
47045;                         Grupo GF0704 (Servicios de Salud Publica);Grupo GF0704 (Servicios de Salud Publica);Anual
47046;                         Grupo GF0705 (Salud R&D);Grupo GF0705 (Salud R&D);Anual
47047;                         Grupo GF0706 (Salud n.e.c);Grupo GF0706 (Salud n.e.c);Anual
47048;                    División GF08 (Recreación, cultura y religión);División GF08 (Recreación, cultura y religión);Anual
47049;                         Grupo GF0801 (Serv de deporte y recreación);Grupo GF0801 (Serv de deporte y recreación);Anual
47050;                         Grupo GF0802 (Servicios culturales);Grupo GF0802 (Servicios culturales);Anual
47051;                         Grupo GF0803 (Serv de radiodifusión y publicn);Grupo GF0803 (Serv de radiodifusión y publicn);Anual
47052;                         Grupo GF0804 (Serv de comunidades religiosas);Grupo GF0804 (Serv de comunidades religiosas);Anual
47053;                         Grupo GF0805 (Recreación, cult y relig R&D);Grupo GF0805 (Recreación, cult y relig R&D);Anual
47054;                         Grupo GF0806 (Recreación, cult y relig n.e.c);Grupo GF0806 (Recreación, cult y relig n.e.c);Anual
47055;                    División GF09 (Educación);División GF09 (Educación);Anual
47056;                         Grupo GF0801 (Educ Preescolar y Primaria);Grupo GF0801 (Educ Preescolar y Primaria);Anual
47057;                         Grupo GF0802 (Educación Secundaria);Grupo GF0802 (Educación Secundaria);Anual
47058;                         Grupo GF0803 (Educ pos-secund y no terciaria);Grupo GF0803 (Educ pos-secund y no terciaria);Anual
47059;                         Grupo GF0804 (Educación terciaria);Grupo GF0804 (Educación terciaria);Anual
47060;                         Grupo GF0805 (Educ no definible por niv);Grupo GF0805 (Educ no definible por niv);Anual
47061;                         Grupo GF0806 (Serv subsidiarios para educación);Grupo GF0806 (Serv subsidiarios para educación);Anual
47062;                         Grupo GF0907 (R&D Education);Grupo GF0907 (R&D Education);Anual
47063;                         Grupo GF0908 (Educación n.e.c);Grupo GF0908 (Educación n.e.c);Anual
47064;                    División GF10 (Protección social);División GF10 (Protección social);Anual
47065;                         Grupo GF1001 (Efermedad y discapacidad);Grupo GF1001 (Efermedad y discapacidad);Anual
47066;                         Grupo GF1002 (Vejez);Grupo GF1002 (Vejez);Anual
47067;                         Grupo GF1003 (Sobrevivientes);Grupo GF1003 (Sobrevivientes);Anual
47068;                         Grupo GF1004 (Familia y niños);Grupo GF1004 (Familia y niños);Anual
47069;                         Grupo GF1005 (Desempleo);Grupo GF1005 (Desempleo);Anual
47070;                         Grupo GF1006 (Viviendas);Grupo GF1006 (Viviendas);Anual
47071;                         Grupo GF1007 (Exclusión social n.e.c);Grupo GF1007 (Exclusión social n.e.c);Anual
47072;                         Grupo GF1008 (R&D Protección social);Grupo GF1008 (R&D Protección social);Anual
47073;                         Grupo GF1009 (Protección social n.e.c);Grupo GF1009 (Protección social n.e.c);Anual
44073;          Transferencias de capital (2)(3);Transferencias de capital (2)(3);Anual
44074;               Sector S13 - Gobierno General;Sector S13 - Gobierno General;Anual
44075;                    División GF01 (Servicios públicos generales);División GF01 (Servicios públicos generales);Anual
44076;                         Grupo GF0101 (Org Ejecutivo y Legislativo, asun fisc-fin);Grupo GF0101 (Org Ejecutivo y Legislativo, asun fisc-fin);Anual
44077;                         Grupo GF0102 (Ayuda económica Extranjera);Grupo GF0102 (Ayuda económica Extranjera);Anual
44078;                         Grupo GF0103 (Servicios generales);Grupo GF0103 (Servicios generales);Anual
44079;                         Grupo GF0104 (Investigación básica);Grupo GF0104 (Investigación básica);Anual
44080;                         Grupo GF0105 (Servicios públicos generales (R&D);Grupo GF0105 (Servicios públicos generales (R&D);Anual
44081;                         Grupo GF0106 (Servicios públicos gen n.e.c );Grupo GF0106 (Servicios públicos gen n.e.c );Anual
44082;                         Grupo GF0107 (Transacciones deuda púb);Grupo GF0107 (Transacciones deuda púb);Anual
44083;                         Grupo GF0108 (Transf de caractr gen entre niv Gob);Grupo GF0108 (Transf de caractr gen entre niv Gob);Anual
47074;                    División GF02 (Defensa);División GF02 (Defensa);Anual
47075;                         Grupo GF0201 (Defensa Militar);Grupo GF0201 (Defensa Militar);Anual
47076;                         Grupo GF0202 (Defensa Civil);Grupo GF0202 (Defensa Civil);Anual
47077;                         Grupo GF0203 (Ayuda ext militar);Grupo GF0203 (Ayuda ext militar);Anual
47078;                         Grupo GF0204 (Defensa R&D);Grupo GF0204 (Defensa R&D);Anual
47079;                         Grupo GF0205 (Defensa n.e.c);Grupo GF0205 (Defensa n.e.c);Anual
47080;                    División GF03 (Seguridad y orden público);División GF03 (Seguridad y orden público);Anual
47081;                         Grupo GF0301 (Servicios policiales);Grupo GF0301 (Servicios policiales);Anual
47082;                         Grupo GF0302 (Servicios contra incendios);Grupo GF0302 (Servicios contra incendios);Anual
47083;                         Grupo GF0303 (Tribunales de justicia);Grupo GF0303 (Tribunales de justicia);Anual
47084;                         Grupo GF0304 (Prisiones);Grupo GF0304 (Prisiones);Anual
47085;                         Grupo GF0305 (Seguridad y orden público R&D);Grupo GF0305 (Seguridad y orden público R&D);Anual
47086;                         Grupo GF0306 (Seguridad y orden público n.e.c);Grupo GF0306 (Seguridad y orden público n.e.c);Anual
47087;                    División GF04 (Asuntos económicos);División GF04 (Asuntos económicos);Anual
47088;                         Grupo GF0401 (Econ general, asunt com y lab);Grupo GF0401 (Econ general, asunt com y lab);Anual
47089;                         Grupo GF0402 (Agricult, silvicult, pesca y caza);Grupo GF0402 (Agricult, silvicult, pesca y caza);Anual
47090;                         Grupo GF0403 (Combustible y energía);Grupo GF0403 (Combustible y energía);Anual
47091;                         Grupo GF0404 (Minería, manufactura y const);Grupo GF0404 (Minería, manufactura y const);Anual
47092;                         Grupo GF0405 (Transporte);Grupo GF0405 (Transporte);Anual
47093;                         Grupo GF0406 (Comunicación);Grupo GF0406 (Comunicación);Anual
47094;                         Grupo GF0407 (Otras industrias);Grupo GF0407 (Otras industrias);Anual
47095;                         Grupo GF0408 (Asuntos económicos R&D);Grupo GF0408 (Asuntos económicos R&D);Anual
47096;                         Grupo GF0409 (Asuntos económicos n.e.c);Grupo GF0409 (Asuntos económicos n.e.c);Anual
47097;                    División GF05 (Protección Ambiental);División GF05 (Protección Ambiental);Anual
47098;                         Grupo GF0501 (Manejo de residuos);Grupo GF0501 (Manejo de residuos);Anual
47099;                         Grupo GF0502 (Gestión de aguas residuales);Grupo GF0502 (Gestión de aguas residuales);Anual
47100;                         Grupo GF0503 (Reducción de contaminación);Grupo GF0503 (Reducción de contaminación);Anual
47101;                         Grupo GF0504 (Protecc por la biodiv y paisaje );Grupo GF0504 (Protecc por la biodiv y paisaje );Anual
47102;                         Grupo GF0505 (R&D Protection Ambiental);Grupo GF0505 (R&D Protection Ambiental);Anual
47103;                         Grupo GF0506 (Protección ambiental n.e.c);Grupo GF0506 (Protección ambiental n.e.c);Anual
47104;                    División GF06 (Vivienda y serv a comunidd);División GF06 (Vivienda y serv a comunidd);Anual
47105;                         Grupo GF0601 (Urbanización );Grupo GF0601 (Urbanización );Anual
47106;                         Grupo GF0602 (Desarrollo comunitario);Grupo GF0602 (Desarrollo comunitario);Anual
47107;                         Grupo GF0603 (Suministro de agua);Grupo GF0603 (Suministro de agua);Anual
47108;                         Grupo GF0604 (Alumbrado público);Grupo GF0604 (Alumbrado público);Anual
47109;                         Grupo GF0605 (R&D Viviendas y servicios a com);Grupo GF0605 (R&D Viviendas y servicios a com);Anual
47110;                         Grupo GF0606 (Protección ambiental n.e.c);Grupo GF0606 (Protección ambiental n.e.c);Anual
47111;                    División GF07 (Salud);División GF07 (Salud);Anual
47112;                         Grupo GF0701 (Productos medicos, equip y acc);Grupo GF0701 (Productos medicos, equip y acc);Anual
47113;                         Grupo GF0702 (Servicios Ambulatorios);Grupo GF0702 (Servicios Ambulatorios);Anual
47114;                         Grupo GF0703 (Servicios Hospitalarios);Grupo GF0703 (Servicios Hospitalarios);Anual
47115;                         Grupo GF0704 (Servicios de Salud Publica);Grupo GF0704 (Servicios de Salud Publica);Anual
47116;                         Grupo GF0705 (Salud R&D);Grupo GF0705 (Salud R&D);Anual
47117;                         Grupo GF0706 (Salud n.e.c);Grupo GF0706 (Salud n.e.c);Anual
47118;                    División GF08 (Recreación, cultura y religión);División GF08 (Recreación, cultura y religión);Anual
47119;                         Grupo GF0801 (Serv de deporte y recreación);Grupo GF0801 (Serv de deporte y recreación);Anual
47120;                         Grupo GF0802 (Servicios culturales);Grupo GF0802 (Servicios culturales);Anual
47121;                         Grupo GF0803 (Serv de radiodifusión y publicn);Grupo GF0803 (Serv de radiodifusión y publicn);Anual
47122;                         Grupo GF0804 (Serv de comunidades religiosas);Grupo GF0804 (Serv de comunidades religiosas);Anual
47123;                         Grupo GF0805 (Recreación, cult y relig R&D);Grupo GF0805 (Recreación, cult y relig R&D);Anual
47124;                         Grupo GF0806 (Recreación, cult y relig n.e.c);Grupo GF0806 (Recreación, cult y relig n.e.c);Anual
47125;                    División GF09 (Educación);División GF09 (Educación);Anual
47126;                         Grupo GF0801 (Educ Preescolar y Primaria);Grupo GF0801 (Educ Preescolar y Primaria);Anual
47127;                         Grupo GF0802 (Educación Secundaria);Grupo GF0802 (Educación Secundaria);Anual
47128;                         Grupo GF0803 (Educ pos-secund y no terciaria);Grupo GF0803 (Educ pos-secund y no terciaria);Anual
47129;                         Grupo GF0804 (Educación terciaria);Grupo GF0804 (Educación terciaria);Anual
47130;                         Grupo GF0805 (Educ no definible por niv);Grupo GF0805 (Educ no definible por niv);Anual
47131;                         Grupo GF0806 (Serv subsidiarios para educación);Grupo GF0806 (Serv subsidiarios para educación);Anual
47132;                         Grupo GF0907 (R&D Education);Grupo GF0907 (R&D Education);Anual
47133;                         Grupo GF0908 (Educación n.e.c);Grupo GF0908 (Educación n.e.c);Anual
47134;                    División GF10 (Protección social);División GF10 (Protección social);Anual
47135;                         Grupo GF1001 (Efermedad y discapacidad);Grupo GF1001 (Efermedad y discapacidad);Anual
47136;                         Grupo GF1002 (Vejez);Grupo GF1002 (Vejez);Anual
47137;                         Grupo GF1003 (Sobrevivientes);Grupo GF1003 (Sobrevivientes);Anual
47138;                         Grupo GF1004 (Familia y niños);Grupo GF1004 (Familia y niños);Anual
47139;                         Grupo GF1005 (Desempleo);Grupo GF1005 (Desempleo);Anual
47140;                         Grupo GF1006 (Viviendas);Grupo GF1006 (Viviendas);Anual
47141;                         Grupo GF1007 (Exclusión social n.e.c);Grupo GF1007 (Exclusión social n.e.c);Anual
47142;                         Grupo GF1008 (R&D Protección social);Grupo GF1008 (R&D Protección social);Anual
47143;                         Grupo GF1009 (Protección social n.e.c);Grupo GF1009 (Protección social n.e.c);Anual
44084;          Subvenciones a la inversion (2)(4);Subvenciones a la inversion (2)(4);Anual
44085;               Sector S13 - Gobierno General;Sector S13 - Gobierno General;Anual
44086;                    División GF01 (Servicios públicos generales);División GF01 (Servicios públicos generales);Anual
44087;                         Grupo GF0101 (Org Ejecutivo y Legislativo, asun fisc-fin);Grupo GF0101 (Org Ejecutivo y Legislativo, asun fisc-fin);Anual
44088;                         Grupo GF0102 (Ayuda económica Extranjera);Grupo GF0102 (Ayuda económica Extranjera);Anual
44089;                         Grupo GF0103 (Servicios generales);Grupo GF0103 (Servicios generales);Anual
44090;                         Grupo GF0104 (Investigación básica);Grupo GF0104 (Investigación básica);Anual
44091;                         Grupo GF0105 (Servicios públicos generales (R&D);Grupo GF0105 (Servicios públicos generales (R&D);Anual
44092;                         Grupo GF0106 (Servicios públicos gen n.e.c );Grupo GF0106 (Servicios públicos gen n.e.c );Anual
44093;                         Grupo GF0107 (Transacciones deuda púb);Grupo GF0107 (Transacciones deuda púb);Anual
44094;                         Grupo GF0108 (Transf de caractr gen entre niv Gob);Grupo GF0108 (Transf de caractr gen entre niv Gob);Anual
47144;                    División GF02 (Defensa);División GF02 (Defensa);Anual
47145;                         Grupo GF0201 (Defensa Militar);Grupo GF0201 (Defensa Militar);Anual
47146;                         Grupo GF0202 (Defensa Civil);Grupo GF0202 (Defensa Civil);Anual
47147;                         Grupo GF0203 (Ayuda ext militar);Grupo GF0203 (Ayuda ext militar);Anual
47148;                         Grupo GF0204 (Defensa R&D);Grupo GF0204 (Defensa R&D);Anual
47149;                         Grupo GF0205 (Defensa n.e.c);Grupo GF0205 (Defensa n.e.c);Anual
47150;                    División GF03 (Seguridad y orden público);División GF03 (Seguridad y orden público);Anual
47151;                         Grupo GF0301 (Servicios policiales);Grupo GF0301 (Servicios policiales);Anual
47152;                         Grupo GF0302 (Servicios contra incendios);Grupo GF0302 (Servicios contra incendios);Anual
47153;                         Grupo GF0303 (Tribunales de justicia);Grupo GF0303 (Tribunales de justicia);Anual
47154;                         Grupo GF0304 (Prisiones);Grupo GF0304 (Prisiones);Anual
47155;                         Grupo GF0305 (Seguridad y orden público R&D);Grupo GF0305 (Seguridad y orden público R&D);Anual
47156;                         Grupo GF0306 (Seguridad y orden público n.e.c);Grupo GF0306 (Seguridad y orden público n.e.c);Anual
47157;                    División GF04 (Asuntos económicos);División GF04 (Asuntos económicos);Anual
47158;                         Grupo GF0401 (Econ general, asunt com y lab);Grupo GF0401 (Econ general, asunt com y lab);Anual
47159;                         Grupo GF0402 (Agricult, silvicult, pesca y caza);Grupo GF0402 (Agricult, silvicult, pesca y caza);Anual
47160;                         Grupo GF0403 (Combustible y energía);Grupo GF0403 (Combustible y energía);Anual
47161;                         Grupo GF0404 (Minería, manufactura y const);Grupo GF0404 (Minería, manufactura y const);Anual
47162;                         Grupo GF0405 (Transporte);Grupo GF0405 (Transporte);Anual
47163;                         Grupo GF0406 (Comunicación);Grupo GF0406 (Comunicación);Anual
47164;                         Grupo GF0407 (Otras industrias);Grupo GF0407 (Otras industrias);Anual
47165;                         Grupo GF0408 (Asuntos económicos R&D);Grupo GF0408 (Asuntos económicos R&D);Anual
47166;                         Grupo GF0409 (Asuntos económicos n.e.c);Grupo GF0409 (Asuntos económicos n.e.c);Anual
47167;                    División GF05 (Protección Ambiental);División GF05 (Protección Ambiental);Anual
47168;                         Grupo GF0501 (Manejo de residuos);Grupo GF0501 (Manejo de residuos);Anual
47169;                         Grupo GF0502 (Gestión de aguas residuales);Grupo GF0502 (Gestión de aguas residuales);Anual
47170;                         Grupo GF0503 (Reducción de contaminación);Grupo GF0503 (Reducción de contaminación);Anual
47171;                         Grupo GF0504 (Protecc por la biodiv y paisaje );Grupo GF0504 (Protecc por la biodiv y paisaje );Anual
47172;                         Grupo GF0505 (R&D Protection Ambiental);Grupo GF0505 (R&D Protection Ambiental);Anual
47173;                         Grupo GF0506 (Protección ambiental n.e.c);Grupo GF0506 (Protección ambiental n.e.c);Anual
47174;                    División GF06 (Vivienda y serv a comunidd);División GF06 (Vivienda y serv a comunidd);Anual
47175;                         Grupo GF0601 (Urbanización );Grupo GF0601 (Urbanización );Anual
47176;                         Grupo GF0602 (Desarrollo comunitario);Grupo GF0602 (Desarrollo comunitario);Anual
47177;                         Grupo GF0603 (Suministro de agua);Grupo GF0603 (Suministro de agua);Anual
47178;                         Grupo GF0604 (Alumbrado público);Grupo GF0604 (Alumbrado público);Anual
47179;                         Grupo GF0605 (R&D Viviendas y servicios a com);Grupo GF0605 (R&D Viviendas y servicios a com);Anual
47180;                         Grupo GF0606 (Protección ambiental n.e.c);Grupo GF0606 (Protección ambiental n.e.c);Anual
47181;                    División GF07 (Salud);División GF07 (Salud);Anual
47182;                         Grupo GF0701 (Productos medicos, equip y acc);Grupo GF0701 (Productos medicos, equip y acc);Anual
47183;                         Grupo GF0702 (Servicios Ambulatorios);Grupo GF0702 (Servicios Ambulatorios);Anual
47184;                         Grupo GF0703 (Servicios Hospitalarios);Grupo GF0703 (Servicios Hospitalarios);Anual
47185;                         Grupo GF0704 (Servicios de Salud Publica);Grupo GF0704 (Servicios de Salud Publica);Anual
47186;                         Grupo GF0705 (Salud R&D);Grupo GF0705 (Salud R&D);Anual
47187;                         Grupo GF0706 (Salud n.e.c);Grupo GF0706 (Salud n.e.c);Anual
47188;                    División GF08 (Recreación, cultura y religión);División GF08 (Recreación, cultura y religión);Anual
47189;                         Grupo GF0801 (Serv de deporte y recreación);Grupo GF0801 (Serv de deporte y recreación);Anual
47190;                         Grupo GF0802 (Servicios culturales);Grupo GF0802 (Servicios culturales);Anual
47191;                         Grupo GF0803 (Serv de radiodifusión y publicn);Grupo GF0803 (Serv de radiodifusión y publicn);Anual
47192;                         Grupo GF0804 (Serv de comunidades religiosas);Grupo GF0804 (Serv de comunidades religiosas);Anual
47193;                         Grupo GF0805 (Recreación, cult y relig R&D);Grupo GF0805 (Recreación, cult y relig R&D);Anual
47194;                         Grupo GF0806 (Recreación, cult y relig n.e.c);Grupo GF0806 (Recreación, cult y relig n.e.c);Anual
47195;                    División GF09 (Educación);División GF09 (Educación);Anual
47196;                         Grupo GF0801 (Educ Preescolar y Primaria);Grupo GF0801 (Educ Preescolar y Primaria);Anual
47197;                         Grupo GF0802 (Educación Secundaria);Grupo GF0802 (Educación Secundaria);Anual
47198;                         Grupo GF0803 (Educ pos-secund y no terciaria);Grupo GF0803 (Educ pos-secund y no terciaria);Anual
47199;                         Grupo GF0804 (Educación terciaria);Grupo GF0804 (Educación terciaria);Anual
47200;                         Grupo GF0805 (Educ no definible por niv);Grupo GF0805 (Educ no definible por niv);Anual
47201;                         Grupo GF0806 (Serv subsidiarios para educación);Grupo GF0806 (Serv subsidiarios para educación);Anual
47202;                         Grupo GF0907 (R&D Education);Grupo GF0907 (R&D Education);Anual
47203;                         Grupo GF0908 (Educación n.e.c);Grupo GF0908 (Educación n.e.c);Anual
47204;                    División GF10 (Protección social);División GF10 (Protección social);Anual
47205;                         Grupo GF1001 (Efermedad y discapacidad);Grupo GF1001 (Efermedad y discapacidad);Anual
47206;                         Grupo GF1002 (Vejez);Grupo GF1002 (Vejez);Anual
47207;                         Grupo GF1003 (Sobrevivientes);Grupo GF1003 (Sobrevivientes);Anual
47208;                         Grupo GF1004 (Familia y niños);Grupo GF1004 (Familia y niños);Anual
47209;                         Grupo GF1005 (Desempleo);Grupo GF1005 (Desempleo);Anual
47210;                         Grupo GF1006 (Viviendas);Grupo GF1006 (Viviendas);Anual
47211;                         Grupo GF1007 (Exclusión social n.e.c);Grupo GF1007 (Exclusión social n.e.c);Anual
47212;                         Grupo GF1008 (R&D Protección social);Grupo GF1008 (R&D Protección social);Anual
47213;                         Grupo GF1009 (Protección social n.e.c);Grupo GF1009 (Protección social n.e.c);Anual
44095;          Transf cap pag al subsect del gob central;Transf cap pag al subsect del gob central;Anual
44096;               Sector S13 - Gobierno General;Sector S13 - Gobierno General;Anual
44097;                    División GF01 (Servicios públicos generales);División GF01 (Servicios públicos generales);Anual
44098;                         Grupo GF0101 (Org Ejecutivo y Legislativo, asun fisc-fin);Grupo GF0101 (Org Ejecutivo y Legislativo, asun fisc-fin);Anual
44099;                         Grupo GF0102 (Ayuda económica Extranjera);Grupo GF0102 (Ayuda económica Extranjera);Anual
44100;                         Grupo GF0103 (Servicios generales);Grupo GF0103 (Servicios generales);Anual
44101;                         Grupo GF0104 (Investigación básica);Grupo GF0104 (Investigación básica);Anual
44102;                         Grupo GF0105 (Servicios públicos generales (R&D);Grupo GF0105 (Servicios públicos generales (R&D);Anual
44103;                         Grupo GF0106 (Servicios públicos gen n.e.c );Grupo GF0106 (Servicios públicos gen n.e.c );Anual
44104;                         Grupo GF0107 (Transacciones deuda púb);Grupo GF0107 (Transacciones deuda púb);Anual
44105;                         Grupo GF0108 (Transf de caractr gen entre niv Gob);Grupo GF0108 (Transf de caractr gen entre niv Gob);Anual
47214;                    División GF02 (Defensa);División GF02 (Defensa);Anual
47215;                         Grupo GF0201 (Defensa Militar);Grupo GF0201 (Defensa Militar);Anual
